t,q_1,dq_1,q2,dq2,ddq1,ddq2,output_1,output_2,mass_matrix_11,mass_matrix_12,mass_matrix_22
2.620000,0.844909,0.312571,2.323805,0.906958,-2.349903,-14.607777,-3.058007,0.000000,2.500000,-0.205151,0.180000
2.640000,0.850688,0.265207,2.339029,0.615742,-2.379882,-14.514098,-3.005897,0.000000,2.500000,-0.208460,0.180000
2.660000,0.855516,0.217628,2.348447,0.326370,-2.371963,-14.424061,-2.916668,0.000000,2.500000,-0.210482,0.180000
2.680000,0.859396,0.170566,2.352095,0.038731,-2.328543,-14.341432,-2.791897,0.000000,2.500000,-0.211261,0.180000
2.700000,0.862346,0.124710,2.350007,-0.247359,-2.251595,-14.269572,-2.633802,0.000000,2.500000,-0.210815,0.180000
2.720000,0.864397,0.080715,2.342210,-0.532143,-2.142602,-14.211264,-2.445199,0.000000,2.500000,-0.209145,0.180000
2.740000,0.865592,0.039213,2.328728,-0.815914,-2.002540,-14.168655,-2.229446,0.000000,2.500000,-0.206226,0.180000
2.760000,0.865986,0.000817,2.309578,-1.099005,-1.831872,-14.143320,-1.990377,0.000000,2.500000,-0.202016,0.180000
2.780000,0.865649,-0.033858,2.284770,-1.381770,-1.630588,-14.136401,-1.732229,0.000000,2.500000,-0.196453,0.180000
2.800000,0.864661,-0.064199,2.254307,-1.664590,-1.398246,-14.148845,-1.459561,0.000000,2.500000,-0.189456,0.180000
2.820000,0.863114,-0.089576,2.218183,-1.947860,-1.134057,-14.181706,-1.177166,0.000000,2.500000,-0.180931,0.180000
2.840000,0.861115,-0.109342,2.176386,-2.232004,-0.836973,-14.236495,-0.889978,0.000000,2.500000,-0.170774,0.180000
2.860000,0.858782,-0.122828,2.128894,-2.517481,-0.505803,-14.315550,-0.602982,0.000000,2.500000,-0.158872,0.180000
2.880000,0.856249,-0.129339,2.075675,-2.804810,-0.139331,-14.422388,-0.321117,0.000000,2.500000,-0.145110,0.180000
2.900000,0.853660,-0.128158,2.016685,-3.094595,0.263551,-14.561991,-0.049181,0.000000,2.500000,-0.129378,0.180000
2.920000,0.851178,-0.118548,1.951870,-3.387553,0.703692,-14.740956,0.208256,0.000000,2.500000,-0.111575,0.180000
2.940000,0.848979,-0.099758,1.881156,-3.684549,1.181521,-14.967459,0.446940,0.000000,2.500000,-0.091620,0.180000
2.960000,0.847254,-0.071037,1.804454,-3.986630,1.696828,-15.250907,0.663015,0.000000,2.500000,-0.069461,0.180000
2.980000,0.846209,-0.031644,1.721649,-4.295031,2.248424,-15.601158,0.853089,0.000000,2.500000,-0.045084,0.180000
3.000000,0.846064,0.019124,1.632601,-4.611182,2.833620,-16.027083,1.014303,0.000000,2.500000,-0.018530,0.180000
3.020000,0.847054,0.081891,1.537140,-4.936655,3.447329,-16.534080,1.144381,0.000000,2.500000,0.010095,0.180000
3.040000,0.849423,0.157150,1.435062,-5.273076,4.080614,-17.119918,1.241672,0.000000,2.500000,0.040595,0.180000
3.060000,0.853425,0.245148,1.326134,-5.621873,4.718245,-17.767908,1.305177,0.000000,2.500000,0.072669,0.180000
3.080000,0.859313,0.345739,1.210099,-5.983922,5.334994,-18.435998,1.334570,0.000000,2.500000,0.105878,0.180000
3.100000,0.867334,0.458147,1.086690,-6.358916,5.890205,-19.040250,1.330199,0.000000,2.500000,0.139625,0.180000
3.120000,0.877706,0.580522,0.955673,-6.744138,6.320396,-19.431821,1.293077,0.000000,2.500000,0.173118,0.180000
3.140000,0.890599,0.709513,0.816897,-7.133193,6.532471,-19.371880,1.224859,0.000000,2.500000,0.205346,0.180000
3.160000,0.906094,0.839542,0.670400,-7.513750,6.401549,-18.518384,1.127811,0.000000,2.500000,0.235072,0.180000
3.180000,0.924133,0.962338,0.516535,-7.865882,5.786264,-16.460381,1.004759,0.000000,2.500000,0.260861,0.180000
3.200000,0.944467,1.066999,0.356139,-8.161738,4.575708,-12.848195,0.859034,0.000000,2.500000,0.281175,0.180000
3.220000,0.966611,1.141352,0.190657,-8.368981,2.769605,-7.630763,0.694405,0.000000,2.500000,0.294564,0.180000
3.240000,0.989848,1.174984,0.022162,-8.459281,0.549640,-1.278165,0.515006,0.000000,2.500000,0.299926,0.180000
3.260000,1.013304,1.162877,-0.146838,-8.418864,-1.738551,5.258582,0.325247,0.000000,2.500000,0.296772,0.180000
3.280000,1.036074,1.107510,-0.313763,-8.254697,-3.721115,10.945345,0.129734,0.000000,2.500000,0.285354,0.180000
3.300000,1.057374,1.017742,-0.476362,-7.991191,-5.154243,15.131302,-0.066830,0.000000,2.500000,0.266601,0.180000
3.320000,1.076633,0.905403,-0.632962,-7.660238,-5.982826,17.711315,-0.259732,0.000000,2.500000,0.241884,0.180000
3.340000,1.093516,0.781917,-0.782522,-7.291625,-6.289758,18.961736,-0.444346,0.000000,2.500000,0.212741,0.180000
3.360000,1.107897,0.656376,-0.924528,-6.907921,-6.211847,19.287546,-0.616226,0.000000,2.500000,0.180663,0.180000
3.380000,1.119800,0.535123,-1.058837,-6.523823,-5.881093,19.055485,-0.771191,0.000000,2.500000,0.146966,0.180000
3.400000,1.129357,0.422122,-1.185535,-6.147606,-5.400726,18.534217,-0.905408,0.000000,2.500000,0.112741,0.180000
3.420000,1.136755,0.319604,-1.304821,-5.783213,-4.843027,17.896731,-1.015473,0.000000,2.500000,0.078855,0.180000
3.440000,1.142218,0.228599,-1.416950,-5.431836,-4.255243,17.243680,-1.098472,0.000000,2.500000,0.045972,0.180000
3.460000,1.145978,0.149392,-1.522180,-5.093205,-3.666995,16.627692,-1.152043,0.000000,2.500000,0.014579,0.180000
3.480000,1.148271,0.081802,-1.620757,-4.766323,-3.096193,16.071895,-1.174420,0.000000,2.500000,-0.014982,0.180000
3.500000,1.149325,0.025360,-1.712902,-4.449888,-2.553186,15.582518,-1.164473,0.000000,2.500000,-0.042488,0.180000
3.520000,1.149356,-0.020550,-1.798813,-4.142594,-2.043578,15.156903,-1.121722,0.000000,2.500000,-0.067814,0.180000
3.540000,1.148568,-0.056623,-1.878659,-3.843230,-1.569911,14.788415,-1.046356,0.000000,2.500000,-0.090907,0.180000
3.560000,1.147152,-0.083590,-1.952588,-3.550728,-1.132750,14.469370,-0.939221,0.000000,2.500000,-0.111775,0.180000
3.580000,1.145281,-0.102173,-2.020728,-3.264174,-0.731361,14.192679,-0.801807,0.000000,2.500000,-0.130471,0.180000
3.600000,1.143116,-0.113072,-2.083189,-2.982777,-0.364150,13.952683,-0.636218,0.000000,2.500000,-0.147079,0.180000
3.620000,1.140804,-0.116952,-2.140069,-2.705848,-0.028998,13.745447,-0.445129,0.000000,2.500000,-0.161706,0.180000
3.640000,1.138480,-0.114430,-2.191449,-2.432757,0.276495,13.568712,-0.231733,0.000000,2.500000,-0.174470,0.180000
3.660000,1.136266,-0.106074,-2.237400,-2.162902,0.554792,13.421622,0.000324,0.000000,2.500000,-0.185496,0.180000
3.680000,1.134273,-0.092404,-2.277982,-1.895693,0.808235,13.304337,0.247012,0.000000,2.500000,-0.194909,0.180000
3.700000,1.132602,-0.073896,-2.313242,-1.630525,1.038890,13.217606,0.504003,0.000000,2.500000,-0.202828,0.180000
3.720000,1.131346,-0.050989,-2.343213,-1.366779,1.248415,13.162348,0.766754,0.000000,2.500000,-0.209360,0.180000
3.740000,1.130589,-0.024092,-2.367918,-1.103817,1.437971,13.139281,1.030597,0.000000,2.500000,-0.214604,0.180000
3.760000,1.130407,0.006401,-2.387367,-0.840992,1.608147,13.148619,1.290832,0.000000,2.500000,-0.218640,0.180000
3.780000,1.130867,0.040104,-2.401554,-0.577659,1.758921,13.189840,1.542823,0.000000,2.500000,-0.221533,0.180000
3.800000,1.132030,0.076624,-2.410465,-0.313194,1.889636,13.261525,1.782087,0.000000,2.500000,-0.223327,0.180000
3.820000,1.133948,0.115547,-2.414071,-0.047011,1.999000,13.361264,2.004384,0.000000,2.500000,-0.224047,0.180000
3.840000,1.136665,0.156429,-2.412331,0.221420,2.085094,13.485630,2.205800,0.000000,2.500000,-0.223700,0.180000
3.860000,1.140215,0.198780,-2.405196,0.492549,2.145402,13.630221,2.382825,0.000000,2.500000,-0.222268,0.180000
3.880000,1.144622,0.242053,-2.392608,0.766729,2.176859,13.789786,2.532419,0.000000,2.500000,-0.219714,0.180000
3.900000,1.149899,0.285638,-2.374505,1.044202,2.175920,13.958449,2.652074,0.000000,2.500000,-0.215980,0.180000
3.920000,1.156045,0.328848,-2.350818,1.325087,2.138665,14.130045,2.739858,0.000000,2.500000,-0.210988,0.180000
3.940000,1.163045,0.370915,-2.321479,1.609384,2.060941,14.298583,2.794457,0.000000,2.500000,-0.204641,0.180000
3.960000,1.170868,0.410987,-2.286420,1.896974,1.938541,14.458842,2.815191,0.000000,2.500000,-0.196827,0.180000
3.980000,1.179465,0.448132,-2.245579,2.187656,1.767425,14.607045,2.802031,0.000000,2.500000,-0.187418,0.180000
4.000000,1.188767,0.481336,-2.198895,2.481168,1.543959,14.741609,2.755593,0.000000,2.500000,-0.176282,0.180000
4.020000,1.198685,0.509521,-2.146315,2.777237,1.265175,14.863840,2.677120,0.000000,2.500000,-0.163281,0.180000
4.040000,1.209107,0.531559,-2.087790,3.075664,0.928982,14.978481,2.568460,0.000000,2.500000,-0.148281,0.180000
4.060000,1.219899,0.546291,-2.023273,3.376382,0.534361,15.094016,2.432019,0.000000,2.500000,-0.131158,0.180000
4.080000,1.230902,0.552546,-1.952718,3.679516,0.081507,15.222612,2.270714,0.000000,2.500000,-0.111811,0.180000
4.100000,1.241936,0.549171,-1.876074,3.985474,-0.428092,15.379588,2.087906,0.000000,2.500000,-0.090167,0.180000
4.120000,1.252798,0.535062,-1.793276,4.295003,-0.991566,15.582380,1.887333,0.000000,2.500000,-0.066195,0.180000
4.140000,1.263261,0.509183,-1.704243,4.609188,-1.604431,15.848851,1.673031,0.000000,2.500000,-0.039915,0.180000
4.160000,1.273080,0.470598,-1.608868,4.929489,-2.260201,16.194772,1.449250,0.000000,2.500000,-0.011419,0.180000
4.180000,1.281994,0.418545,-1.507011,5.257592,-2.949385,16.630082,1.220365,0.000000,2.500000,0.019122,0.180000
4.200000,1.289729,0.352495,-1.398500,5.595273,-3.657807,17.153104,0.990789,0.000000,2.500000,0.051433,0.180000
4.220000,1.296000,0.272251,-1.283126,5.944146,-4.363799,17.741626,0.764883,0.000000,2.500000,0.085116,0.180000
4.240000,1.300526,0.178174,-1.160653,6.305031,-5.033530,18.339114,0.546863,0.000000,2.500000,0.119622,0.180000
4.260000,1.303042,0.071496,-1.030850,6.677047,-5.614480,18.834568,0.340723,0.000000,2.500000,0.154227,0.180000
4.280000,1.303318,-0.045294,-0.893521,7.056478,-6.027974,19.037216,0.150149,0.000000,2.500000,0.188002,0.180000
